"filename", "language", "TypeScript JSX", "Python", "JavaScript", "pip requirements", "TypeScript", "comment", "blank", "total"
"d:\code\FANTASY\app\(tabs)\_layout.tsx", "TypeScript JSX", 123, 0, 0, 0, 0, 0, 6, 129
"d:\code\FANTASY\app\(tabs)\admin.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 2, 4
"d:\code\FANTASY\app\(tabs)\explore.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 2, 8
"d:\code\FANTASY\app\(tabs)\index.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 2, 8
"d:\code\FANTASY\app\(tabs)\leaderboard.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 2, 8
"d:\code\FANTASY\app\(tabs)\myteam.tsx", "TypeScript JSX", 6, 0, 0, 0, 0, 0, 2, 8
"d:\code\FANTASY\app\(tabs)\settings.tsx", "TypeScript JSX", 37, 0, 0, 0, 0, 0, 5, 42
"d:\code\FANTASY\app\_layout.tsx", "TypeScript JSX", 118, 0, 0, 0, 0, 8, 21, 147
"d:\code\FANTASY\app\modal.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 4, 30
"d:\code\FANTASY\auth.py", "Python", 0, 194, 0, 0, 0, 59, 68, 321
"d:\code\FANTASY\components\external-link.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 2, 3, 26
"d:\code\FANTASY\components\haptic-tab.tsx", "TypeScript JSX", 16, 0, 0, 0, 0, 1, 2, 19
"d:\code\FANTASY\components\hello-wave.tsx", "TypeScript JSX", 18, 0, 0, 0, 0, 0, 2, 20
"d:\code\FANTASY\components\parallax-scroll-view.tsx", "TypeScript JSX", 73, 0, 0, 0, 0, 0, 7, 80
"d:\code\FANTASY\components\themed-text.tsx", "TypeScript JSX", 55, 0, 0, 0, 0, 0, 6, 61
"d:\code\FANTASY\components\themed-view.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 5, 15
"d:\code\FANTASY\components\ui\collapsible.tsx", "TypeScript JSX", 40, 0, 0, 0, 0, 0, 6, 46
"d:\code\FANTASY\components\ui\icon-symbol.ios.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 0, 2, 33
"d:\code\FANTASY\components\ui\icon-symbol.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 11, 5, 42
"d:\code\FANTASY\constants\theme.ts", "TypeScript", 0, 0, 0, 0, 41, 8, 5, 54
"d:\code\FANTASY\crud.py", "Python", 0, 1062, 0, 0, 0, 168, 307, 1537
"d:\code\FANTASY\database.py", "Python", 0, 133, 0, 0, 0, 13, 49, 195
"d:\code\FANTASY\eslint.config.js", "JavaScript", 0, 0, 8, 0, 0, 1, 2, 11
"d:\code\FANTASY\hooks\use-color-scheme.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 1, 2
"d:\code\FANTASY\hooks\use-color-scheme.web.ts", "TypeScript", 0, 0, 0, 0, 13, 3, 6, 22
"d:\code\FANTASY\hooks\use-theme-color.ts", "TypeScript", 0, 0, 0, 0, 14, 4, 4, 22
"d:\code\FANTASY\logger_config.py", "Python", 0, 33, 0, 0, 0, 15, 13, 61
"d:\code\FANTASY\main.py", "Python", 0, 738, 0, 0, 0, 121, 186, 1045
"d:\code\FANTASY\models.py", "Python", 0, 99, 0, 0, 0, 4, 42, 145
"d:\code\FANTASY\requirements.txt", "pip requirements", 0, 0, 0, 9, 0, 0, 1, 10
"d:\code\FANTASY\round_processor.py", "Python", 0, 46, 0, 0, 0, 14, 20, 80
"d:\code\FANTASY\src\components\ErrorBoundary.tsx", "TypeScript JSX", 156, 0, 0, 0, 0, 7, 16, 179
"d:\code\FANTASY\src\context\AuthContext.tsx", "TypeScript JSX", 223, 0, 0, 0, 0, 12, 33, 268
"d:\code\FANTASY\src\context\GameContext.tsx", "TypeScript JSX", 608, 0, 0, 0, 0, 46, 101, 755
"d:\code\FANTASY\src\screens\AdminScreen.tsx", "TypeScript JSX", 136, 0, 0, 0, 0, 1, 6, 143
"d:\code\FANTASY\src\screens\DashboardScreen.tsx", "TypeScript JSX", 603, 0, 0, 0, 0, 1, 34, 638
"d:\code\FANTASY\src\screens\HelpScreen.tsx", "TypeScript JSX", 445, 0, 0, 0, 0, 10, 36, 491
"d:\code\FANTASY\src\screens\HomeScreen.tsx", "TypeScript JSX", 342, 0, 0, 0, 0, 1, 15, 358
"d:\code\FANTASY\src\screens\LoginScreen.tsx", "TypeScript JSX", 294, 0, 0, 0, 0, 1, 24, 319
"d:\code\FANTASY\src\screens\MatchManagementScreen.tsx", "TypeScript JSX", 505, 0, 0, 0, 0, 12, 29, 546
"d:\code\FANTASY\src\screens\MyTeamScreen.tsx", "TypeScript JSX", 462, 0, 0, 0, 0, 10, 22, 494
"d:\code\FANTASY\src\screens\PlayerManagementScreen.tsx", "TypeScript JSX", 554, 0, 0, 0, 0, 9, 42, 605
"d:\code\FANTASY\src\screens\ProfileEditScreen.tsx", "TypeScript JSX", 426, 0, 0, 0, 0, 9, 26, 461
"d:\code\FANTASY\src\screens\RoundManagementScreen.tsx", "TypeScript JSX", 779, 0, 0, 0, 0, 12, 68, 859
"d:\code\FANTASY\src\screens\ScoreManagementScreen.tsx", "TypeScript JSX", 477, 0, 0, 0, 0, 6, 31, 514
"d:\code\FANTASY\src\screens\SettingsScreen.tsx", "TypeScript JSX", 923, 0, 0, 0, 0, 12, 68, 1003
"d:\code\FANTASY\src\screens\TeamSelectionScreen.tsx", "TypeScript JSX", 697, 0, 0, 0, 0, 20, 35, 752
"d:\code\FANTASY\src\services\api.ts", "TypeScript", 0, 0, 0, 0, 549, 54, 87, 690
"d:\code\FANTASY\src\types\index.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 6, 56
"d:\code\FANTASY\src\utils\connectionTester.ts", "TypeScript", 0, 0, 0, 0, 135, 20, 19, 174
"d:\code\FANTASY\src\utils\errorHandler.ts", "TypeScript", 0, 0, 0, 0, 238, 47, 43, 328
"d:\code\FANTASY\src\utils\fileLogger.ts", "TypeScript", 0, 0, 0, 0, 171, 16, 42, 229
"d:\code\FANTASY\src\utils\retryHelper.ts", "TypeScript", 0, 0, 0, 0, 132, 28, 26, 186
"d:\code\FANTASY\src\utils\serverConfig.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 7, 43
"d:\code\FANTASY\src\utils\sounds.ts", "TypeScript", 0, 0, 0, 0, 120, 17, 21, 158
"Total", "-", 8250, 2305, 8, 9, 1500, 783, 1625, 14480
